Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
The King Of Fighters Xiii,The King Of Fighters Xiii,2,0,2,0,0,0,0,6,27,1,0.020155
Imaginefx,Imaginefx,2,0,2,0,0,0,1,4,12,0,0.029016
Wakanim,Wakanim,3,0,3,0,0,0,2,5,14,1,0.083323
Fantasy Zone,Fantasy Zone,3,0,3,0,0,0,3,6,18,0.333333,0.033403
Homeschooling During The Covid-19 Pandemic,Homeschooling During The Covid-19 Pandemic,2,0,2,0,0,0,4,3,23,1,0.02008
Ultima I: The First Age Of Darkness,Ultima I: The First Age Of Darkness,2,0,2,0,0,0,5,4,16,0,0.017972
Dc Comics,Dc Comics,2,0,2,0,0,0,6,6,26,0.5,0.015979
Sonic The Hedgehog (Film),Sonic The Hedgehog (Film),2,0,2,0,0,0,7,6,25,1,0.053365
The Independent,The Independent,8,0,8,0,0,0,8,2,5,0.053571,0.082419
Microcomputer,Microcomputer,25,0,25,0,0,0,9,7,37,0.181667,0.277508
World E-Sports Games,World E-Sports Games,3,0,3,0,0,0,10,5,27,1,0.014194
Life (Video Games),Life (Video Games),7,0,7,0,0,0,11,6,16,0.261905,0.088754
Microsoft,Microsoft,30,0,30,0,0,0,12,4,32,0.083908,0.403131
Societal Views On Patents,Societal Views On Patents,4,0,4,0,0,0,13,1,31,0.666667,0.057086
Half-Life (Video Game),Half-Life (Video Game),4,0,4,0,0,0,14,4,16,0.25,0.026512
Rally-X,Rally-X,2,0,2,0,0,0,15,1,18,0,0.015362
Cheating In Video Games,Cheating In Video Games,3,0,3,0,0,0,16,6,26,0,0.033156
Mrna-1283,Mrna-1283,2,0,2,0,0,0,17,3,23,1,0.02008
Nintendo Marketing,Nintendo Marketing,2,0,2,0,0,0,18,5,27,0.5,0.011805
Covid-19 Pandemic In Ukraine,Covid-19 Pandemic In Ukraine,2,0,2,0,0,0,19,3,23,1,0.02008
Digital Repository Audit Method Based On Risk Assessment,Digital Repository Audit Method Based On Risk Assessment,2,0,2,0,0,0,20,8,8,1,0.009398
Baen Books,Baen Books,2,0,2,0,0,0,21,1,14,0.5,0.018186
Covid-19 Pandemic In Cuba,Covid-19 Pandemic In Cuba,2,0,2,0,0,0,22,3,23,1,0.02008
Alex Valle,Alex Valle,2,0,2,0,0,0,23,5,27,1,0.010193
Traditional Sports And Games,Traditional Sports And Games,2,0,2,0,0,0,24,6,25,1,0.053365
Covid-19 Pandemic In The Regional Municipality Of Peel,Covid-19 Pandemic In The Regional Municipality Of Peel,2,0,2,0,0,0,25,3,23,1,0.02008
Optical Disc,Optical Disc,10,0,10,0,0,0,26,7,38,0.177778,0.129146
2021–2023 Global Energy Crisis,2021–2023 Global Energy Crisis,2,0,2,0,0,0,27,3,23,1,0.02008
Television Set,Television Set,3,0,3,0,0,0,28,6,18,0.5,0.055996
Online Copyright Infringement Liability Limitation Act,Online Copyright Infringement Liability Limitation Act,2,0,2,0,0,0,29,1,10,1,0.021521
Mashup (Video),Mashup (Video),4,0,4,0,0,0,30,1,31,0.666667,0.057086
Covid-19 Pandemic In Zambia,Covid-19 Pandemic In Zambia,2,0,2,0,0,0,31,3,23,1,0.02008
Sony Digital Audio Disc Corporation,Sony Digital Audio Disc Corporation,3,0,3,0,0,0,32,5,14,1,0.083323
Impact Of The Covid-19 Pandemic On Education,Impact Of The Covid-19 Pandemic On Education,2,0,2,0,0,0,33,3,23,1,0.02008
Six Invitational,Six Invitational,3,0,3,0,0,0,34,5,27,1,0.014194
Cel Shading,Cel Shading,2,0,2,0,0,0,35,6,18,1,0.005982
Journal Of Interactive Marketing,Journal Of Interactive Marketing,2,0,2,0,0,0,36,6,25,1,0.053365
The Week,The Week,2,0,2,0,0,0,37,4,12,0,0.029016
Flathub,Flathub,2,0,2,0,0,0,38,5,14,0,0.022457
Ubisoft,Ubisoft,3,0,3,0,0,0,39,1,31,0.166667,0.036978
Soviet Union,Soviet Union,12,0,12,0,0,0,40,7,2,0.128788,0.168761
Brilife,Brilife,2,0,2,0,0,0,41,3,23,1,0.02008
Covid-19 Pandemic In Iowa,Covid-19 Pandemic In Iowa,2,0,2,0,0,0,42,3,23,1,0.02008
2010S In Video Games,2010S In Video Games,5,0,5,0,0,0,43,6,22,0.7,0.094753
Total 911,Total 911,2,0,2,0,0,0,44,4,12,0,0.029016
Second Generation Of Video Game Consoles,Second Generation Of Video Game Consoles,13,0,13,0,0,0,45,4,16,0.525641,0.299303
Video Memory,Video Memory,2,0,2,0,0,0,46,7,14,0,0.039717
Marvel Entertainment,Marvel Entertainment,2,0,2,0,0,0,47,2,10,0.5,0.015153
Steve Jobs,Steve Jobs,10,0,10,0,0,0,48,7,40,0.288889,0.111976
Nigerian Government Response To The Covid-19 Pandemic,Nigerian Government Response To The Covid-19 Pandemic,2,0,2,0,0,0,49,3,23,1,0.02008
Gunpei Yokoi,Gunpei Yokoi,4,0,4,0,0,0,50,5,27,0.25,0.044268
Censorship By Copyright,Censorship By Copyright,5,0,5,0,0,0,51,1,31,0.65,0.074989
Championship Gaming Series,Championship Gaming Series,4,0,4,0,0,0,52,6,27,0.833333,0.028622
Medicine Publishing,Medicine Publishing,2,0,2,0,0,0,53,4,12,1,0.046085
Dustforce,Dustforce,2,0,2,0,0,0,54,6,25,1,0.053365
Flight Simulator,Flight Simulator,2,0,2,0,0,0,55,6,25,1,0.053365
Sony Financial Group,Sony Financial Group,3,0,3,0,0,0,56,5,14,1,0.083323
Quest For Glory: So You Want To Be A Hero,Quest For Glory: So You Want To Be A Hero,2,0,2,0,0,0,57,4,33,1,0.005142
Covid-19 Pandemic In North Rhine-Westphalia,Covid-19 Pandemic In North Rhine-Westphalia,2,0,2,0,0,0,58,3,23,1,0.02008
Sony Pictures Core,Sony Pictures Core,3,0,3,0,0,0,59,5,14,1,0.083323
Living History,Living History,4,0,4,0,0,0,60,8,8,0.166667,0.013314
Cranston Manor,Cranston Manor,2,0,2,0,0,0,61,4,33,1,0.005142
Impact Of The Covid-19 Pandemic On The Meat Industry In The United States,Impact Of The Covid-19 Pandemic On The Meat Industry In The United States,2,0,2,0,0,0,62,3,23,1,0.02008
Sound Collage,Sound Collage,3,0,3,0,0,0,63,1,18,0.333333,0.014476
The Games Machine,The Games Machine,2,0,2,0,0,0,64,6,24,0,0.018351
Las Vegas,Las Vegas,2,0,2,0,0,0,65,6,14,0,0.040717
Maria Elena Lagomasino,Maria Elena Lagomasino,2,0,2,0,0,0,66,2,10,0.5,0.015153
Covid-19 Pandemic In Cagayan Valley,Covid-19 Pandemic In Cagayan Valley,2,0,2,0,0,0,67,3,23,1,0.02008
Mac Os X,Mac Os X,5,0,5,0,0,0,68,7,40,0,0.018506
Linux,Linux,27,0,27,0,0,0,69,7,19,0.058405,0.274284
Open-Source Hardware,Open-Source Hardware,9,0,9,0,0,0,70,7,31,0.263889,0.129571
Lists Of Nintendo Characters,Lists Of Nintendo Characters,2,0,2,0,0,0,71,5,27,0.5,0.011805
Lunar Lander (Video Game Genre),Lunar Lander (Video Game Genre),7,0,7,0,0,0,72,6,11,0.642857,0.125385
Covid-19 Vaccination In Kazakhstan,Covid-19 Vaccination In Kazakhstan,2,0,2,0,0,0,73,3,23,1,0.02008
Atari Jaguar Cd,Atari Jaguar Cd,2,0,2,0,0,0,74,6,18,1,0.061644
Stargate Fandom,Stargate Fandom,2,0,2,0,0,0,75,1,31,0.5,0.009747
Gakken Compact Vision Tv Boy,Gakken Compact Vision Tv Boy,4,0,4,0,0,0,76,5,21,1,0.132643
Atari Flashback Series,Atari Flashback Series,2,0,2,0,0,0,77,6,18,1,0.064027
Education Software,Education Software,2,0,2,0,0,0,78,6,25,1,0.053365
Deaths Of Anti-Vaccine Advocates From Covid-19,Deaths Of Anti-Vaccine Advocates From Covid-19,2,0,2,0,0,0,79,3,23,1,0.02008
Crippleware,Crippleware,2,0,2,0,0,0,80,1,14,0.5,0.009644
Louder Sound,Louder Sound,2,0,2,0,0,0,81,4,12,0,0.029016
Scirus,Scirus,2,0,2,0,0,0,82,4,12,1,0.046085
Impact Of The Covid-19 Pandemic On Prisons,Impact Of The Covid-19 Pandemic On Prisons,2,0,2,0,0,0,83,3,23,1,0.02008
Patentleft,Patentleft,4,0,4,0,0,0,84,1,31,0.666667,0.057086
Shadow Of The Colossus,Shadow Of The Colossus,2,0,2,0,0,0,85,6,27,0,0.014628
Polish People,Polish People,2,0,2,0,0,0,86,0,17,0.5,0.020933
Karate Champ,Karate Champ,3,0,3,0,0,0,87,6,26,0.5,0.034801
2022 Brussels Protests,2022 Brussels Protests,2,0,2,0,0,0,88,3,23,1,0.02008
German Government Response To The Covid-19 Pandemic,German Government Response To The Covid-19 Pandemic,2,0,2,0,0,0,89,3,23,1,0.02008
Imore,Imore,2,0,2,0,0,0,90,4,12,0,0.029016
Software Distribution,Software Distribution,3,0,3,0,0,0,91,5,14,0.166667,0.027541
Mdlinx,Mdlinx,3,0,3,0,0,0,92,5,14,1,0.083323
Rovio Entertainment,Rovio Entertainment,2,0,2,0,0,0,93,6,16,0,0.011879
Star Fox 64,Star Fox 64,3,0,3,0,0,0,94,6,18,0.166667,0.057844
"Rock, Paper, Shotgun","Rock, Paper, Shotgun",9,138,147,0.198429,3578.203752,0,9252,4,12,0.015709,0.162139
Eighth Generation Of Video Game Consoles,Eighth Generation Of Video Game Consoles,12,0,12,0,0,0,5910,6,9,0.530303,0.284285
Metal Gear Solid 2: Sons Of Liberty,Metal Gear Solid 2: Sons Of Liberty,2,0,2,0,0,0,4589,5,18,0,0.025675
Computer Programming,Computer Programming,11,0,11,0,0,0,6255,6,32,0.272727,0.171715
Playstation Portable,Playstation Portable,12,0,12,0,0,0,1208,4,7,0.25,0.2013
Bio-Secure Bubble,Bio-Secure Bubble,2,0,2,0,0,0,4030,3,23,1,0.02008
Social Peer-To-Peer Processes,Social Peer-To-Peer Processes,5,0,5,0,0,0,868,1,31,0.45,0.040219
Gamezebo,Gamezebo,4,0,4,0,0,0,180,4,12,0.75,0.09213
Trekkie,Trekkie,2,0,2,0,0,0,6542,1,31,0.5,0.009747
Distribution (Marketing),Distribution (Marketing),2,0,2,0,0,0,6239,6,25,1,0.053365
Console Xs,Console Xs,2,0,2,0,0,0,6421,4,24,0,0.006148
Google Play,Google Play,7,0,7,0,0,0,6117,5,15,0.309524,0.143873
Timeline Of The Covid-19 Pandemic In May 2021,Timeline Of The Covid-19 Pandemic In May 2021,2,0,2,0,0,0,2847,3,23,1,0.02008
Martial Arts,Martial Arts,3,0,3,0,0,0,5426,6,26,0.5,0.034801
20Th Century Studios,20Th Century Studios,3,0,3,0,0,0,4825,2,10,0.166667,0.022368
Covid-19 Vaccination In Albania,Covid-19 Vaccination In Albania,2,0,2,0,0,0,3494,3,23,1,0.02008
Covid-19 Pandemic In Azerbaijan,Covid-19 Pandemic In Azerbaijan,2,0,2,0,0,0,3923,3,23,1,0.02008
Ted Dabney,Ted Dabney,5,0,5,0,0,0,5068,6,25,0.7,0.138688
Pc Powerplay,Pc Powerplay,2,0,2,0,0,0,2490,4,12,0,0.029016
Gamate,Gamate,2,0,2,0,0,0,6140,6,25,1,0.076398
King'S Quest Iv,King'S Quest Iv,2,0,2,0,0,0,7042,4,33,1,0.005142
Stardock Central,Stardock Central,2,0,2,0,0,0,1232,5,14,0,0.022457
Nintendo Entertainment System Hardware Clone,Nintendo Entertainment System Hardware Clone,2,0,2,0,0,0,4347,6,9,0,0.008197
Esl Pro League,Esl Pro League,3,0,3,0,0,0,5641,5,27,1,0.014194
Mora (Music Store),Mora (Music Store),2,0,2,0,0,0,6278,1,18,0,0.010997
Video Game Port,Video Game Port,2,0,2,0,0,0,1326,6,28,0,0.017909
Hungary,Hungary,8,0,8,0,0,0,1516,0,17,0.357143,0.092002
Gamification,Gamification,2,0,2,0,0,0,6196,6,25,1,0.053365
Nintendo La Rivista Ufficiale,Nintendo La Rivista Ufficiale,2,0,2,0,0,0,4312,5,27,0.5,0.011805
Midway Games,Midway Games,6,0,6,0,0,0,2630,6,16,0.2,0.07117
Vbi-2902,Vbi-2902,2,0,2,0,0,0,2766,3,23,1,0.02008
R-Type,R-Type,2,0,2,0,0,0,6400,6,18,1,0.041577
Millennial,Millennial,3,15,18,1,591.346772,0,440,0,4,0.019608,0.069819
Walt Disney Pictures,Walt Disney Pictures,2,0,2,0,0,0,4616,2,10,0.5,0.015153
Broad-Spectrum Antiviral Drug,Broad-Spectrum Antiviral Drug,2,0,2,0,0,0,4023,3,23,1,0.02008
Wipo Copyright And Performances And Phonograms Treaties Implementation Act,Wipo Copyright And Performances And Phonograms Treaties Implementation Act,2,0,2,0,0,0,4381,1,10,1,0.021521
Hobby,Hobby,4,0,4,0,0,0,4131,6,0,0.083333,0.025581
Asian Indoor And Martial Arts Games,Asian Indoor And Martial Arts Games,3,0,3,0,0,0,5691,5,27,1,0.014194
Pm Cares Fund,Pm Cares Fund,2,0,2,0,0,0,3068,3,23,1,0.02008
Covid-19 Pandemic In Hawaii,Covid-19 Pandemic In Hawaii,2,0,2,0,0,0,3828,3,23,1,0.02008
Formula One,Formula One,5,0,5,0,0,0,1534,0,17,0.5,0.048881
R-Zone,R-Zone,4,0,4,0,0,0,1320,6,26,0.583333,0.122126
Leisure Suit Larry Goes Looking For Love (In Several Wrong Places),Leisure Suit Larry Goes Looking For Love (In Several Wrong Places),2,0,2,0,0,0,7033,4,33,1,0.005142
Panasonic Q,Panasonic Q,2,0,2,0,0,0,6402,5,14,1,0.056244
Regan Mandryk,Regan Mandryk,2,0,2,0,0,0,5341,6,25,1,0.053365
Final Fantasy (Video Game),Final Fantasy (Video Game),3,0,3,0,0,0,2648,6,18,0,0.023022
Macformat,Macformat,2,0,2,0,0,0,2511,4,12,0,0.029016
1974 In Video Games,1974 In Video Games,5,0,5,0,0,0,6109,6,22,0.7,0.094753
Science Fiction Fandom,Science Fiction Fandom,2,0,2,0,0,0,6553,1,31,0.5,0.009747
Adaptive Music,Adaptive Music,2,0,2,0,0,0,4841,4,18,0,0.009183
Nestopia,Nestopia,2,0,2,0,0,0,2437,6,9,0.5,0.032583
Id Software,Id Software,4,0,4,0,0,0,2639,6,27,0,0.02296
Mylo (Sony),Mylo (Sony),4,0,4,0,0,0,5875,6,14,0.583333,0.09449
Swedish Government Response To The Covid-19 Pandemic,Swedish Government Response To The Covid-19 Pandemic,2,0,2,0,0,0,2926,3,23,1,0.02008
Allison Mcgeer,Allison Mcgeer,2,0,2,0,0,0,4056,3,23,1,0.02008
Apple Bandai Pippin,Apple Bandai Pippin,4,0,4,0,0,0,6168,7,10,0.083333,0.034602
Cheat Cartridge,Cheat Cartridge,3,0,3,0,0,0,4895,6,9,0.5,0.057175
Hyper Street Fighter Ii,Hyper Street Fighter Ii,3,0,3,0,0,0,5511,5,27,0.833333,0.013495
Kindle Direct Publishing,Kindle Direct Publishing,2,0,2,0,0,0,4484,1,10,0,0.022462
Covid-19 Vaccine,Covid-19 Vaccine,2,0,2,0,0,0,3418,3,23,1,0.02008
App Store (Apple),App Store (Apple),2,0,2,0,0,0,6920,5,14,0,0.022457
Statistics Of The Covid-19 Pandemic In Mainland China,Statistics Of The Covid-19 Pandemic In Mainland China,2,0,2,0,0,0,2935,3,23,1,0.02008
Covid-19 Pandemic In Texas,Covid-19 Pandemic In Texas,2,0,2,0,0,0,3614,3,23,1,0.02008
Shanghai Disney Resort,Shanghai Disney Resort,2,0,2,0,0,0,4644,2,10,0.5,0.015153
Covid-19 Vaccine Clinical Research,Covid-19 Vaccine Clinical Research,2,0,2,0,0,0,3416,3,23,1,0.02008
Bbc,Bbc,17,0,17,0,0,0,1952,0,5,0.128676,0.171424
Metro (British Newspaper),Metro (British Newspaper),7,0,7,0,0,0,163,4,12,0.5,0.1617
Disneyland Resort,Disneyland Resort,2,0,2,0,0,0,4745,2,10,0.5,0.015153
Jeong Eun-Kyeong,Jeong Eun-Kyeong,2,0,2,0,0,0,3167,3,23,1,0.02008
Covid-19 Pandemic In Maryland,Covid-19 Pandemic In Maryland,2,0,2,0,0,0,3763,3,23,1,0.02008
Rabbids Go Home,Rabbids Go Home,2,0,2,0,0,0,5348,6,25,1,0.053365
Adobe Flash,Adobe Flash,3,0,3,0,0,0,6329,6,31,0.5,0.059161
Flickr,Flickr,4,0,4,0,0,0,4830,4,14,0.166667,0.037975
Conservation And Restoration Of Metals,Conservation And Restoration Of Metals,2,0,2,0,0,0,6784,8,8,1,0.009398
Video Game Magazine,Video Game Magazine,2,0,2,0,0,0,4975,6,16,0.5,0.022137
Art Handler,Art Handler,2,0,2,0,0,0,6829,8,8,1,0.009398
Hyper (Magazine),Hyper (Magazine),3,0,3,0,0,0,2523,4,12,0.166667,0.043444
Copyleft,Copyleft,6,0,6,0,0,0,4523,7,31,0.433333,0.066722
Leapfrog Enterprises,Leapfrog Enterprises,2,0,2,0,0,0,6406,5,14,1,0.056244
Impact Of The Covid-19 Pandemic On The Military,Impact Of The Covid-19 Pandemic On The Military,2,0,2,0,0,0,3193,3,23,1,0.02008
Swinxs,Swinxs,4,0,4,0,0,0,5797,6,18,1,0.096349
Travel Restrictions Related To The Covid-19 Pandemic,Travel Restrictions Related To The Covid-19 Pandemic,2,0,2,0,0,0,2782,3,23,1,0.02008
Beat 'Em Up,Beat 'Em Up,8,0,8,0,0,0,5316,6,16,0.517857,0.128046
Title 17 Of The United States Code,Title 17 Of The United States Code,2,0,2,0,0,0,4389,1,10,1,0.021521
Federal Court Of Justice,Federal Court Of Justice,2,0,2,0,0,0,1536,0,17,0.5,0.020933
Teletype Printer,Teletype Printer,2,0,2,0,0,0,5067,6,25,1,0.053365
Francesco Paolo Figliuolo,Francesco Paolo Figliuolo,2,0,2,0,0,0,3296,3,23,1,0.02008
Pokémon Pikachu,Pokémon Pikachu,2,0,2,0,0,0,5864,6,18,1,0.019951
Sega Ages,Sega Ages,3,0,3,0,0,0,2425,4,18,0,0.036855
Covid-19 Pandemic In Samoa,Covid-19 Pandemic In Samoa,2,0,2,0,0,0,3664,3,23,1,0.02008
Playstation Official Magazine – Uk,Playstation Official Magazine – Uk,10,0,10,0,0,0,145,4,12,0.322222,0.201023
Georgia O'Keeffe,Georgia O'Keeffe,2,0,2,0,0,0,4186,0,26,0,0.016294
Evercade Vs,Evercade Vs,3,0,3,0,0,0,5909,6,14,0.5,0.067411
Guncon,Guncon,4,0,4,0,0,0,6474,5,14,0.416667,0.077036
Playstation App,Playstation App,4,0,4,0,0,0,1252,5,14,0.75,0.089051
Open-Source Software,Open-Source Software,22,0,22,0,0,0,733,1,28,0.134199,0.263259
Pound Sterling,Pound Sterling,7,0,7,0,0,0,1190,7,36,0.214286,0.117883
Accolade (Company),Accolade (Company),2,0,2,0,0,0,6385,5,27,1,0.017489
Brawlhalla,Brawlhalla,2,0,2,0,0,0,6363,5,27,1,0.018893
Baker V. Selden,Baker V. Selden,2,0,2,0,0,0,4468,1,10,1,0.021521
Law360,Law360,2,0,2,0,0,0,9230,4,12,1,0.046085
Destructoid,Destructoid,14,0,14,0,0,0,2542,4,7,0.181319,0.168214
Steam (Service),Steam (Service),11,0,11,0,0,0,1021,5,2,0.127273,0.151515
Fangcang Hospital,Fangcang Hospital,2,0,2,0,0,0,3305,3,23,1,0.02008
Video Games In The Republic Of Ireland,Video Games In The Republic Of Ireland,5,0,5,0,0,0,4983,6,22,0.7,0.094753
Super Nes Cd-Rom,Super Nes Cd-Rom,7,0,7,0,0,0,1129,5,14,0.47619,0.132829
"Google Llc V. Oracle America, Inc.","Google Llc V. Oracle America, Inc.",2,0,2,0,0,0,4419,1,10,1,0.021521
Fedora (Operating System),Fedora (Operating System),3,0,3,0,0,0,2399,6,31,0.333333,0.067219
Liu Wen (Doctor),Liu Wen (Doctor),2,0,2,0,0,0,3144,3,23,1,0.02008
Ptx-Covid19-B,Ptx-Covid19-B,2,0,2,0,0,0,3066,3,23,1,0.02008
Conservation And Restoration Of Aircraft,Conservation And Restoration Of Aircraft,2,0,2,0,0,0,6810,8,8,1,0.009398
European Union,European Union,12,0,12,0,0,0,1539,7,17,0.219697,0.129117
Anime Music Video,Anime Music Video,3,0,3,0,0,0,6631,1,31,0.833333,0.013833
Conservation And Restoration Of Taxidermy,Conservation And Restoration Of Taxidermy,2,0,2,0,0,0,6762,8,8,1,0.009398
Art Game,Art Game,9,0,9,0,0,0,4152,6,15,0.416667,0.135174
Mario,Mario,4,0,4,0,0,0,4322,6,27,0.333333,0.09863
Printer (Computing),Printer (Computing),13,0,13,0,0,0,728,7,38,0.153846,0.139026
Punk (Gamer),Punk (Gamer),2,0,2,0,0,0,5559,5,27,1,0.010193
Covid-19 Timeline By Country In Africa,Covid-19 Timeline By Country In Africa,2,0,2,0,0,0,3496,3,23,1,0.02008
Yahoo!,Yahoo!,4,0,4,0,0,0,443,6,10,0.166667,0.070015
Betacam,Betacam,3,0,3,0,0,0,9020,5,14,1,0.083323
Industry Standard Architecture,Industry Standard Architecture,8,0,8,0,0,0,7073,7,33,0.178571,0.045955
2011 Playstation Network Outage,2011 Playstation Network Outage,4,0,4,0,0,0,5719,5,14,0.75,0.089051
Commercial Use Of Copyleft Works,Commercial Use Of Copyleft Works,4,0,4,0,0,0,4528,1,31,0.666667,0.057086
Amazon University Esports,Amazon University Esports,3,0,3,0,0,0,5701,5,27,1,0.014194
Economic Impact Of The Covid-19 Pandemic In Russia,Economic Impact Of The Covid-19 Pandemic In Russia,2,0,2,0,0,0,3332,3,23,1,0.02008
Covid-19 Vaccination In Canada,Covid-19 Vaccination In Canada,2,0,2,0,0,0,3480,3,23,1,0.02008
Touhou Project,Touhou Project,2,0,2,0,0,0,2407,4,31,1,0.020812
Copyright Act Of 1870,Copyright Act Of 1870,2,0,2,0,0,0,4448,1,10,1,0.021521
Isometric Video Game Graphics,Isometric Video Game Graphics,2,110,112,0.298325,2274.257357,0,9252,6,18,0.010975,0.019805
Impact Of The Covid-19 Pandemic On The Lgbt Community,Impact Of The Covid-19 Pandemic On The Lgbt Community,2,0,2,0,0,0,3201,3,23,1,0.02008
Virtua Fighter 5 Ultimate Showdown,Virtua Fighter 5 Ultimate Showdown,2,0,2,0,0,0,5463,5,27,0,0.008264
Gaikai,Gaikai,3,0,3,0,0,0,5617,5,14,0.666667,0.054771
Scart,Scart,2,0,2,0,0,0,1177,7,14,0,0.033372
Vehicle Simulation Game,Vehicle Simulation Game,7,0,7,0,0,0,5033,6,11,0.642857,0.125385
Covid-19 Pandemic In Bahrain,Covid-19 Pandemic In Bahrain,2,0,2,0,0,0,3922,3,23,1,0.02008
Aptoide,Aptoide,2,0,2,0,0,0,6916,5,14,0,0.022457
Gameplanet,Gameplanet,4,0,4,0,0,0,185,4,12,0.75,0.09213
Covid-19 Pandemic Cases In March 2020,Covid-19 Pandemic Cases In March 2020,2,0,2,0,0,0,3960,3,23,1,0.02008
Pv-1000,Pv-1000,4,0,4,0,0,0,5814,5,21,1,0.132643
Ct510,Ct510,2,0,2,0,0,0,6416,5,14,1,0.056244
Conservation And Restoration Of Leather Objects,Conservation And Restoration Of Leather Objects,2,0,2,0,0,0,6786,8,8,1,0.009398
8 Mm Video Format,8 Mm Video Format,3,0,3,0,0,0,9027,5,14,1,0.083323
Irem,Irem,2,0,2,0,0,0,6346,6,18,0,0.03404
Shrek Fandom,Shrek Fandom,2,0,2,0,0,0,6550,1,31,0.5,0.009747
Polygon (Website),Polygon (Website),27,99,126,0.198266,6151.756097,0,9252,4,12,0.036848,0.393244
Mortal Kombat (1992 Video Game),Mortal Kombat (1992 Video Game),5,0,5,0,0,0,2628,6,16,0.3,0.052772
Cultural Environmentalism,Cultural Environmentalism,4,0,4,0,0,0,4516,1,31,0.666667,0.057086
Disney Jr.,Disney Jr.,2,0,2,0,0,0,4764,2,10,0.5,0.015153
Dragon Slayer (Series),Dragon Slayer (Series),2,0,2,0,0,0,5281,1,18,0,0.022642
Safra Catz,Safra Catz,2,0,2,0,0,0,4647,2,10,0.5,0.015153
Foresight (Psychology),Foresight (Psychology),2,0,2,0,0,0,6205,6,25,1,0.053365
Swifties,Swifties,2,0,2,0,0,0,6545,1,31,0.5,0.009747
Kde Gear,Kde Gear,2,0,2,0,0,0,6874,5,14,0,0.022457
1995 In Video Games,1995 In Video Games,7,0,7,0,0,0,5538,5,20,0.5,0.112483
Square Wave,Square Wave,2,0,2,0,0,0,4225,1,18,0,0.028403
1983 In Video Games,1983 In Video Games,5,0,5,0,0,0,6099,6,22,0.7,0.094753
Independent Sage,Independent Sage,2,0,2,0,0,0,3184,3,23,1,0.02008
Planet Harriers,Planet Harriers,2,0,2,0,0,0,6466,4,21,0.5,0.004762
Corona-Chan,Corona-Chan,2,0,2,0,0,0,3372,3,23,1,0.02008
Escape Room Video Game,Escape Room Video Game,7,0,7,0,0,0,5274,6,11,0.642857,0.125385
National Expert Group On Vaccine Administration For Covid-19,National Expert Group On Vaccine Administration For Covid-19,2,0,2,0,0,0,3099,3,23,1,0.02008
Business Simulation Game,Business Simulation Game,7,0,7,0,0,0,5309,6,11,0.642857,0.125385
Buena Vista (Brand),Buena Vista (Brand),2,0,2,0,0,0,4796,2,10,0.5,0.015153
Handycam,Handycam,3,0,3,0,0,0,8999,5,14,1,0.083323
Reaxys,Reaxys,2,0,2,0,0,0,124,4,12,1,0.046085
The Field (Magazine),The Field (Magazine),2,0,2,0,0,0,2460,4,12,0,0.029016
Razi Cov Pars,Razi Cov Pars,2,0,2,0,0,0,3043,3,23,1,0.02008
Covid-19 Pandemic In Scotland,Covid-19 Pandemic In Scotland,2,0,2,0,0,0,3659,3,23,1,0.02008
Collection (Museum),Collection (Museum),2,0,2,0,0,0,6824,8,8,1,0.009398
Linux Format,Linux Format,3,0,3,0,0,0,2515,4,12,0,0.031591
Phantasy Star (Video Game),Phantasy Star (Video Game),2,0,2,0,0,0,5196,5,21,0.5,0.03817
Egypt,Egypt,8,0,8,0,0,0,1545,0,17,0.357143,0.072739
Playtv,Playtv,4,0,4,0,0,0,1194,5,14,0.75,0.089051
Gulf And Western Industries,Gulf And Western Industries,3,0,3,0,0,0,6387,5,21,0.666667,0.034187
Preservation Of Meaning,Preservation Of Meaning,2,0,2,0,0,0,6668,8,8,1,0.009398
Science Fiction Convention,Science Fiction Convention,2,0,2,0,0,0,6554,1,31,0.5,0.009747
Tron,Tron,2,0,2,0,0,0,5045,6,25,1,0.053365
Gd-Rom,Gd-Rom,3,0,3,0,0,0,6390,5,21,0.666667,0.034187
Line Of Sight (Video Games),Line Of Sight (Video Games),3,0,3,0,0,0,5119,6,26,0.833333,0.060482
Covid-19 Pandemic In Calabarzon,Covid-19 Pandemic In Calabarzon,2,0,2,0,0,0,3899,3,23,1,0.02008
Anxiety,Anxiety,2,0,2,0,0,0,4120,8,23,0,0.018703
Walkman,Walkman,3,0,3,0,0,0,1102,5,14,1,0.083323
Katalin Karikó,Katalin Karikó,2,0,2,0,0,0,3158,3,23,1,0.02008
Invisible Wall,Invisible Wall,3,0,3,0,0,0,5123,6,26,0.833333,0.060482
Atari 2600,Atari 2600,21,0,21,0,0,0,4890,7,2,0.157143,0.276594
Piranha Bytes,Piranha Bytes,2,0,2,0,0,0,2706,6,20,0,0.019373
Dead Or Alive (Video Game),Dead Or Alive (Video Game),2,0,2,0,0,0,6353,5,21,0,0.016964
Taylor & Francis Group,Taylor & Francis Group,2,0,2,0,0,0,5070,6,25,1,0.053365
Smithsonian American Art Museum,Smithsonian American Art Museum,6,26,32,0.240431,1467.9098,0,9252,0,26,0.039785,0.101362
Unfair Competition,Unfair Competition,2,0,2,0,0,0,1283,5,14,0.5,0.043964
Thailand,Thailand,5,0,5,0,0,0,1290,5,17,0.3,0.0841
