Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
Bunch,Bunch,2,0,2,0,0,0,8226,7,3,0,0.030731
Claude Shannon,Claude Shannon,2,0,2,0,0,0,7878,7,29,0,0.00807
Polymath,Polymath,3,0,3,0,0,0,7609,0,29,0,0.017595
Jack Kilby,Jack Kilby,3,0,3,0,0,0,7702,7,29,0.5,0.01441
Ibm 1130,Ibm 1130,7,0,7,0,0,0,7565,7,34,0.357143,0.075942
Python (Programming Language),Python (Programming Language),2,0,2,0,0,0,705,7,8,0,0.04211
Blockly,Blockly,2,0,2,0,0,0,9138,7,8,0,0.04211
Sperry Corporation,Sperry Corporation,2,0,2,0,0,0,839,7,3,0,0.030731
Blender (Software),Blender (Software),2,0,2,0,0,0,9072,7,31,0,0.040714
Ps-3000,Ps-3000,4,0,4,0,0,0,1712,7,29,0.666667,0.04247
Seymour I. Rubinstein,Seymour I. Rubinstein,2,0,2,0,0,0,1762,7,38,0,0.009987
Maurice Wilkes,Maurice Wilkes,3,0,3,0,0,0,2253,7,29,0.333333,0.019969
Compatible Time-Sharing System,Compatible Time-Sharing System,2,0,2,0,0,0,8223,7,3,0,0.030731
Programming Paradigm,Programming Paradigm,3,0,3,0,0,0,709,7,8,0.5,0.030488
Ferranti Mark 1,Ferranti Mark 1,2,0,2,0,0,0,7801,7,29,0,0.00807
Ti-99/4A,Ti-99/4A,5,0,5,0,0,0,2211,7,39,0.4,0.046161
Channel I/O,Channel I/O,2,0,2,0,0,0,8224,7,3,1,0.032244
Luigi Federico Menabrea,Luigi Federico Menabrea,2,0,2,0,0,0,7669,7,29,0,0.00807
Child Abuse,Child Abuse,2,0,2,0,0,0,8361,0,2,0,0.029462
Leslie Comrie,Leslie Comrie,2,0,2,0,0,0,7676,7,29,0,0.00807
Nba League Pass,Nba League Pass,2,0,2,0,0,0,9040,2,5,1,0.035092
Mainframe,Mainframe,4,0,4,0,0,0,1720,7,37,0.083333,0.050649
Abstraction (Computing),Abstraction (Computing),2,0,2,0,0,0,9139,7,8,0.5,0.040065
Crimea,Crimea,2,0,2,0,0,0,8933,0,5,0,0.0102
Linux On Ibm Z,Linux On Ibm Z,2,0,2,0,0,0,1728,7,3,0,0.029751
Computational Complexity,Computational Complexity,2,0,2,0,0,0,9121,7,8,1,0.028796
Bongo Bd,Bongo Bd,2,0,2,0,0,0,9065,2,5,1,0.035092
Mechanical Counter,Mechanical Counter,2,0,2,0,0,0,7653,7,29,0,0.00807
One-To-One Correspondence,One-To-One Correspondence,2,0,2,0,0,0,7625,7,29,0,0.00807
